2015-03-09 20:00:00 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:28 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:28 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:29 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:29 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:33 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:33 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:34 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:44 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:00:45 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:01:08 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:01:08 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 20:24:33 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 17]
2015-03-10 17:10:53 Notice: Notice (8): Undefined index: autor in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/administrador/list_post.ctp, line 49]
2015-03-10 17:13:07 Notice: Notice (8): Undefined variable: belongsTo in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 47]
2015-03-10 17:13:07 Notice: Notice (8): Undefined index: autor in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/administrador/list_post.ctp, line 49]
2015-03-10 17:13:29 Notice: Notice (8): Undefined variable: belongsTo in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 47]
2015-03-10 17:13:29 Notice: Notice (8): Undefined index: autor in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/administrador/list_post.ctp, line 49]
2015-03-10 17:16:00 Notice: Notice (8): Undefined index: autor in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/administrador/list_post.ctp, line 49]
2015-03-10 17:23:31 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 17]
2015-03-10 17:29:10 Notice: Notice (8): Undefined index: titulo in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 48]
